job_number,run_time,n_procs
173,4,5.334546
103,1,7.618120
148,1,7.627274
97,1,8.383078
100,1,8.377338
101,1,8.389594
98,1,8.406360
102,1,8.393780
174,4,3.076782
99,1,9.143521
206,1,4.585742
205,1,4.605251
211,1,4.551106
212,1,4.582129
83,1,15.117844
84,1,15.243670
89,1,15.241869
88,1,15.246474
85,1,15.265660
86,1,15.906868
87,1,15.925908
93,1,15.924357
94,1,15.921925
90,1,16.526490
91,1,16.528163
92,1,16.553959
229,1,13.826716
82,1,29.477382
159,1,31.190050
172,1,33.044985
156,1,36.845108
157,1,66.233709
189,1,76.466013
115,1,93.999961
180,1,102.171928
230,32,1.575218
381,25,1.564267
382,25,1.726915
383,25,1.321138
384,25,1.061597
385,25,1.559846
637,12,16.765657
598,1,18.737199
317,6,28.795751
595,2,24.303045
640,25,4.825551
605,1,27.290217
646,25,2.310461
647,25,2.557040
650,2,16.308223
649,2,17.319626
643,2,40.939605
648,2,35.509158
658,25,4.634224
639,2,72.958853
673,25,2.563188
674,25,1.741975
675,25,1.533200
676,25,2.072835
677,25,1.601230
679,25,1.837449
680,25,1.886324
682,4,0.768333
687,4,0.758617
651,2,54.781268
698,25,3.157254
699,25,3.056879
515,1,93.966547
700,25,3.312807
683,2,11.359693
735,25,5.056527
736,25,3.160062
659,1,38.208460
737,25,3.121541
768,25,3.831835
769,25,3.052576
770,25,3.056750
569,1,117.150037
797,25,3.836431
804,25,2.287337
805,25,2.360671
820,25,0.864179
831,25,1.612938
832,25,2.215567
833,25,1.579556
834,25,1.548731
835,25,1.590775
836,25,1.529052
837,25,0.765255
838,25,1.548052
839,25,0.834798
840,25,1.531340
841,25,1.598811
929,2,0.823726
899,2,0.858719
897,2,1.523279
898,2,1.635798
942,12,0.972325
965,12,0.776112
883,12,3.975940
988,12,4.591118
1023,1,9.144505
1156,16,8.426329
923,1,19.045252
940,1,19.772139
1153,1,16.010421
941,1,20.650630
938,1,22.054309
890,1,22.093461
963,1,22.040570
992,1,23.588360
1161,12,16.002119
1144,1,31.210779
888,1,35.778427
1162,12,14.536480
1164,12,9.159805
1163,12,14.528460
1165,12,7.695474
1169,1,9.151788
1168,1,12.986758
1167,1,14.518472
1256,1,14.529262
1014,1,60.182252
1290,1,23.652444
1017,1,69.413359
1293,1,18.347805
1327,2,18.330673
1259,1,25.946280
1333,1,24.399973
1270,1,34.313830
1235,1,35.163118
1198,1,35.827203
1316,1,37.437861
1319,1,38.950986
1352,1,24.393673
1317,1,44.219039
1310,1,44.275007
1370,1,28.963776
896,1,103.559145
1339,4,41.485124
1269,1,58.771143
1271,1,60.221168
1273,1,61.031432
1274,1,61.761228
1268,1,63.269181
1334,1,56.435549
1594,12,13.808806
1595,12,3.817166
1506,1,40.413220
1596,12,2.286655
1597,12,2.301839
1776,1,3.048531
1386,1,56.422423
1311,1,75.470154
1835,8,4.581712
1779,1,8.408815
1291,1,77.722555
1846,8,3.814862
1847,8,3.837085
1848,8,3.848817
1372,1,70.887350
1773,1,22.110471
1849,8,3.825879
1816,1,23.620911
1734,1,23.684318
1850,8,3.818358
1851,8,3.861538
1852,8,3.824517
1853,8,3.848759
1951,4,2.295586
1950,4,2.320895
1388,1,78.782134
1834,1,32.752781
1819,4,38.353606
1356,1,96.144424
1338,1,133.142071
1736,1,65.186435
1964,25,1.733857
974,1,192.385641
1085,1,201.995081
1969,2,19.882107
1177,1,166.334195
1369,1,143.388544
1968,2,29.829742
1777,1,98.439216
1970,4,48.815658
1965,4,49.522910
1342,1,176.240502
1978,25,1.537153
1981,25,1.533574
1984,25,1.701601
1403,1,163.337002
2004,25,2.039555
2107,1,0.761888
2005,25,1.554925
2189,12,2.325470
2190,12,1.593204
2187,8,10.719215
2185,8,25.292452
2105,1,39.937622
2173,1,98.437628
2144,1,99.282579
2079,1,111.372111
2376,32,3.119876
2380,4,0.766976
2381,4,0.763385
2444,8,3.182028
2445,8,2.455195
2443,8,4.610794
2442,8,4.654910
2446,8,2.286369
2447,8,2.999995
2448,8,2.126485
2474,25,2.284535
2475,25,1.546005
2583,12,1.540759
2675,1,3.785390
2600,16,5.335237
2677,25,2.291718
2664,4,7.781165
2699,25,1.528237
2700,25,1.547032
2701,25,0.857626
2702,25,1.562008
2703,25,1.747408
2704,25,1.686332
2705,25,1.646565
2706,25,1.613005
2710,25,1.593790
2714,25,1.527777
2715,25,1.572199
2716,25,1.557177
2717,25,1.535722
2718,25,1.524458
2719,25,1.537653
2720,25,1.531970
2721,25,1.527267
2722,25,1.788608
2723,25,1.600024
2724,25,1.541585
2725,25,1.557211
2726,25,2.353941
2795,12,6.092037
2796,12,10.670530
2979,12,6.070334
2980,12,3.451505
3019,1,2.901941
3018,1,2.929630
2981,12,2.944809
3017,1,4.020650
