job_number,run_time,n_procs
173,4,5.384471
148,1,7.626143
103,1,7.660284
97,1,8.388710
100,1,8.383209
101,1,8.385343
102,1,8.415295
174,4,3.062620
98,1,8.560460
99,1,9.159995
205,1,4.562334
206,1,4.582244
212,1,4.562769
211,1,4.572284
84,1,15.218010
83,1,15.276686
85,1,15.277733
89,1,15.274134
88,1,15.289763
94,1,15.845764
86,1,15.941332
87,1,15.937068
93,1,15.989591
92,1,16.510032
90,1,16.576114
91,1,16.580031
229,1,13.905685
82,1,29.447837
159,1,31.245451
172,1,32.115473
156,1,36.958203
157,1,65.168288
189,1,76.010778
115,1,92.826257
180,1,103.120355
230,32,1.585339
381,25,1.816280
382,25,1.527844
383,25,0.827988
384,25,0.848967
385,25,1.537338
637,12,16.771623
598,1,18.772981
317,6,28.897810
595,2,24.236814
605,1,27.274507
640,25,5.406012
646,25,3.181163
647,25,2.381419
650,2,15.859252
649,2,17.167440
643,2,40.653315
648,2,37.091539
639,2,71.426582
658,25,4.589636
673,25,1.958147
674,25,1.623935
675,25,1.537608
676,25,2.029885
677,25,1.609370
679,25,2.345227
680,25,1.718233
651,2,54.968211
682,4,0.640859
687,4,0.671280
515,1,91.820242
698,25,3.063329
699,25,3.408560
700,25,3.414907
683,2,11.227509
735,25,3.873035
736,25,3.123341
659,1,38.269955
737,25,3.808941
768,25,3.889058
569,1,115.483756
769,25,3.062490
770,25,3.057367
797,25,3.804631
804,25,2.327107
805,25,2.358076
820,25,0.824736
831,25,1.872937
832,25,1.605674
833,25,1.611282
834,25,1.583579
835,25,1.584181
836,25,1.619068
837,25,0.774159
838,25,1.531195
839,25,0.765063
840,25,1.548255
841,25,1.548272
899,2,0.762231
929,2,0.761281
897,2,1.521273
898,2,1.521513
942,12,0.822438
965,12,0.809994
883,12,3.807888
988,12,4.572207
1023,1,9.145569
1156,16,8.452223
923,1,19.059790
1153,1,16.002806
940,1,19.812826
941,1,20.509368
890,1,22.087803
938,1,22.068345
963,1,21.920645
992,1,23.482482
1161,12,16.008386
1144,1,31.228051
888,1,35.647342
1162,12,14.547599
1163,12,14.505985
1164,12,9.476125
1165,12,7.627843
1169,1,9.142299
1168,1,12.967056
1167,1,14.475486
1256,1,14.484242
1014,1,60.218793
1290,1,23.637900
1017,1,69.232758
1293,1,18.287979
1327,2,18.294352
1259,1,25.952794
1333,1,24.597913
1270,1,34.320436
1235,1,35.035720
1198,1,35.950263
1316,1,37.340877
1319,1,38.872700
1352,1,24.401343
1310,1,44.166916
1317,1,44.187784
1370,1,28.942120
1339,4,41.259241
896,1,103.731753
1269,1,58.634755
1271,1,60.153336
1273,1,60.980506
1274,1,61.662867
1268,1,63.234189
1334,1,56.563791
1594,12,13.755699
1595,12,3.812139
1506,1,40.345997
1596,12,2.495232
1597,12,2.312934
1776,1,3.048041
1386,1,56.368200
1311,1,75.326418
1835,8,4.611477
1779,1,8.388170
1291,1,77.610920
1846,8,3.833727
1847,8,3.809417
1848,8,3.811582
1372,1,70.856812
1773,1,22.079527
1849,8,3.831031
1734,1,23.624858
1816,1,23.614435
1850,8,3.821821
1851,8,3.853990
1852,8,3.826233
1853,8,3.848314
1950,4,2.284798
1951,4,2.285798
1388,1,79.155918
1834,1,32.654555
1819,4,38.097810
1356,1,97.089319
1338,1,131.498684
1736,1,65.718804
1964,25,1.972340
974,1,193.338052
1085,1,203.010843
1969,2,19.665502
1177,1,166.147525
1369,1,143.967953
1777,1,96.650664
1968,2,29.695389
1342,1,175.316018
1970,4,48.790446
1965,4,49.445149
1978,25,1.790434
1403,1,161.907260
1981,25,1.623127
1984,25,1.545827
2004,25,1.527177
2107,1,0.761517
2005,25,1.537686
2189,12,1.537637
2190,12,1.550026
2187,8,10.659671
2185,8,24.416470
2105,1,39.902430
2173,1,98.300298
2144,1,98.920389
2079,1,112.441659
2376,32,3.108441
2380,4,0.761542
2381,4,0.762655
2444,8,3.091095
2445,8,2.404680
2442,8,4.572082
2443,8,4.608696
2446,8,2.292685
2447,8,3.013161
2448,8,2.096453
2474,25,2.293630
2475,25,1.639481
2583,12,1.526182
2675,1,3.661461
2600,16,5.338062
2664,4,7.155434
2677,25,3.232671
2699,25,1.522949
2700,25,1.525514
2701,25,1.049111
2702,25,1.606335
2703,25,1.533395
2704,25,1.528614
2705,25,1.586156
2706,25,1.628328
2710,25,1.600251
2714,25,1.525709
2715,25,1.530427
2716,25,1.534810
2717,25,1.636167
2718,25,1.624694
2719,25,1.614761
2720,25,1.644823
2721,25,2.423371
2722,25,1.592969
2723,25,1.798515
2724,25,1.609150
2725,25,1.625792
2726,25,1.553876
2795,12,6.164069
2796,12,10.753349
2979,12,6.117832
2980,12,3.079565
3018,1,2.762277
3019,1,2.768385
2981,12,3.061501
3017,1,3.874209
