job_number,run_time,n_procs
1777,1,109.090443
1164,1,109.816594
640,1,114.323142
658,1,114.371750
115,1,122.728318
569,1,125.040016
651,1,126.587465
2796,1,128.288945
2144,1,131.177158
2173,1,132.380053
1156,1,134.148035
180,1,139.107726
1338,1,139.767897
2079,1,151.265023
1369,1,154.883005
1819,1,155.460729
639,1,160.092800
1594,1,164.610221
1339,1,164.784246
1163,1,173.879419
1162,1,173.905237
1177,1,174.543377
317,1,178.667403
1403,1,179.154320
1342,1,191.613629
1161,1,192.252171
974,1,200.626680
637,1,201.988566
1085,1,211.222816
515,1,101.383004
896,1,103.781972
1356,1,99.185739
189,1,99.886642
2185,1,219.869102
2376,1,97.567973
735,1,95.365474
768,1,95.300615
648,1,88.407563
797,1,95.298821
1165,1,91.898092
2187,1,85.496480
643,1,93.481729
2600,1,85.961999
1970,1,226.027928
1965,1,228.750118
1291,1,77.720056
1388,1,79.322376
157,1,83.207061
698,1,76.218483
699,1,76.207130
700,1,76.292854
736,1,76.263485
737,1,76.312714
769,1,76.221503
1311,1,75.477474
770,1,76.214962
2795,1,73.272192
2979,1,73.286509
1736,1,72.566847
1372,1,71.653210
1273,1,60.936762
1274,1,61.790796
1268,1,63.247297
1968,1,65.576230
646,1,57.158999
1269,1,58.737927
647,1,57.170044
1014,1,60.218411
1017,1,69.328528
1271,1,60.207345
804,1,57.186673
805,1,57.149222
2474,1,57.246940
2677,1,57.295216
883,1,45.740605
1334,1,56.482680
1386,1,56.601690
2105,1,48.072359
230,1,48.816614
988,1,54.897067
595,1,50.392379
1310,1,44.262836
1595,1,46.607162
156,1,42.735477
1969,1,42.691782
1317,1,44.231307
649,1,39.631094
1506,1,40.418951
659,1,38.934603
1319,1,38.903408
381,1,38.131248
382,1,38.394563
385,1,38.105644
673,1,38.127284
674,1,38.111051
675,1,38.148893
677,1,38.156974
676,1,38.263596
679,1,38.112862
680,1,38.157380
831,1,38.106561
832,1,38.104748
833,1,38.142027
834,1,38.158668
835,1,38.147446
836,1,38.113383
838,1,38.122057
840,1,38.366349
1964,1,38.132382
841,1,38.212966
1978,1,38.583291
1984,1,38.112006
1981,1,38.158220
2004,1,38.151641
2005,1,38.108880
2475,1,38.131386
2699,1,38.147431
2700,1,38.100509
2702,1,38.167696
2703,1,38.114358
2704,1,38.192638
2705,1,38.158718
2706,1,38.098523
2710,1,38.283406
2714,1,38.097326
2715,1,38.161245
2716,1,38.119922
2717,1,38.158031
2718,1,38.113854
2719,1,38.324683
2720,1,38.216816
2721,1,38.168390
2722,1,38.109690
2723,1,38.088105
2724,1,38.090556
1327,1,36.596460
650,1,36.777593
172,1,37.354683
1316,1,37.351484
1835,1,36.821011
2725,1,38.106831
2442,1,36.604547
2443,1,36.575492
2980,1,36.647941
2726,1,38.881213
2981,1,36.573225
888,1,35.808730
82,1,32.761921
159,1,35.052781
1198,1,35.862596
1270,1,34.319390
1235,1,35.066504
1144,1,31.279515
1834,1,32.800615
1846,1,30.992785
1847,1,30.484368
992,1,23.664880
683,1,22.860158
1333,1,24.423556
1290,1,23.656274
2444,1,24.384096
1734,1,23.621911
1848,1,30.482256
1352,1,24.517771
1816,1,23.655608
2447,1,24.477313
890,1,22.097815
1849,1,30.516675
1850,1,30.482794
1259,1,25.914669
1851,1,30.499842
938,1,22.540641
1596,1,27.428768
1597,1,27.458626
605,1,28.181853
1370,1,28.962035
1852,1,30.509241
1853,1,30.480055
2664,1,30.483096
940,1,19.801616
941,1,20.982619
963,1,22.111353
173,1,21.346886
1773,1,22.099429
383,1,19.079365
384,1,19.268653
90,1,16.798193
598,1,19.050923
86,1,16.007360
820,1,19.050699
91,1,16.768113
92,1,16.783382
87,1,16.145651
1293,1,18.286243
93,1,15.997751
2189,1,18.285953
2190,1,18.280943
2445,1,18.359195
2448,1,18.287929
2446,1,18.311631
94,1,15.998528
837,1,19.132408
2583,1,18.481509
839,1,19.046073
229,1,15.996868
923,1,19.090922
2701,1,19.094156
83,1,15.256768
1153,1,15.999884
84,1,15.300280
1168,1,12.955238
85,1,15.267663
1167,1,14.476713
88,1,15.231173
1256,1,14.483442
99,1,9.145584
89,1,15.254658
682,1,3.077594
897,1,3.046922
687,1,3.094590
898,1,3.047829
899,1,1.523734
1776,1,3.047222
2675,1,3.812498
929,1,1.525323
2107,1,0.762124
2380,1,3.049321
205,1,4.577599
174,1,12.195404
206,1,4.577115
211,1,4.573084
212,1,4.559096
3017,1,4.562754
2381,1,3.048968
3018,1,3.027832
3019,1,3.013233
103,1,7.319829
148,1,7.320483
942,1,8.703352
97,1,8.011941
98,1,7.890296
102,1,7.884652
965,1,8.746978
100,1,7.964781
101,1,7.963018
1779,1,7.882396
1023,1,8.568952
1169,1,8.634969
1950,1,8.543015
1951,1,8.579261
