job_number,run_time,n_procs
1164,1,109.782158
1777,1,109.969147
658,1,114.307740
640,1,114.362676
115,1,122.935584
569,1,125.076262
651,1,126.657803
2796,1,128.346135
2144,1,131.052173
2173,1,131.055194
1156,1,134.233386
180,1,138.169066
1338,1,139.533835
2079,1,150.123533
1369,1,153.227740
1819,1,155.590898
639,1,160.083225
1594,1,164.701035
1339,1,165.810074
1163,1,174.097661
1162,1,174.135850
1177,1,174.502005
317,1,178.497984
1403,1,179.376305
1342,1,191.572113
1161,1,192.897618
974,1,200.501487
637,1,201.187073
1085,1,211.110004
515,1,101.352950
896,1,103.759828
1356,1,99.234707
189,1,99.849470
2185,1,220.394069
735,1,95.342043
2376,1,97.858447
768,1,95.501780
1165,1,91.444358
648,1,88.412814
2187,1,85.458387
797,1,95.523367
643,1,92.947708
2600,1,85.571100
1970,1,225.793687
1965,1,228.929528
1388,1,79.280254
157,1,83.093352
1291,1,77.856341
698,1,76.187423
699,1,76.186747
700,1,76.188688
736,1,76.229464
737,1,76.317102
769,1,76.212558
770,1,76.255048
1311,1,75.571833
2795,1,73.241618
2979,1,73.267211
1372,1,70.897233
1736,1,72.415332
1273,1,60.959340
1274,1,61.876508
1968,1,65.528186
1268,1,63.623412
646,1,57.321066
1269,1,58.685595
647,1,57.257894
804,1,57.147703
1017,1,69.349688
1014,1,60.209526
1271,1,60.220137
805,1,57.433018
2677,1,57.119177
2474,1,57.250337
1334,1,56.376093
2105,1,48.075529
230,1,48.778168
1386,1,56.448229
883,1,45.943683
595,1,50.291229
988,1,55.001992
1310,1,44.367963
1595,1,45.725522
156,1,42.756050
1969,1,42.664862
1317,1,44.248436
649,1,39.714599
1506,1,40.404972
659,1,38.930759
1319,1,38.899854
381,1,38.132301
382,1,38.112894
385,1,38.105504
673,1,38.157680
675,1,38.093044
674,1,39.111807
676,1,38.106503
677,1,38.127536
679,1,38.091199
680,1,38.606693
831,1,38.128750
832,1,38.106723
833,1,38.105896
834,1,38.148968
835,1,38.093001
836,1,38.181446
838,1,38.110778
840,1,38.541771
841,1,38.092503
1964,1,38.161879
1978,1,38.148813
1981,1,38.097830
1984,1,38.117978
2004,1,38.111114
2005,1,38.113117
2475,1,38.099278
2699,1,38.125451
2702,1,38.160795
2700,1,38.320098
2703,1,38.145433
2704,1,38.158943
2705,1,38.151554
2706,1,38.089361
2710,1,38.100884
2714,1,38.128488
2715,1,38.177760
2716,1,38.099214
2717,1,38.279563
2718,1,38.118060
2719,1,38.123661
2720,1,38.091957
2721,1,38.100767
2722,1,38.089975
1327,1,36.567952
650,1,36.613217
172,1,37.387997
2723,1,38.104177
2724,1,38.095472
1835,1,36.610489
1316,1,37.338062
2442,1,36.609135
2725,1,38.085921
2726,1,38.946004
2443,1,37.487085
2980,1,36.594411
888,1,35.810844
2981,1,36.660622
82,1,32.776429
159,1,35.044035
1198,1,35.809128
1270,1,34.292150
1235,1,35.102243
1144,1,31.261201
1834,1,32.799511
1846,1,30.532487
1847,1,30.478877
992,1,23.626290
1290,1,23.623942
1352,1,24.397597
1333,1,24.561513
2447,1,24.380854
2444,1,24.425261
683,1,22.871771
1734,1,23.646375
1848,1,30.503444
1816,1,23.621065
1849,1,30.612473
890,1,22.092098
1259,1,25.953392
938,1,22.136839
1850,1,30.475476
1596,1,27.421709
1597,1,27.467680
605,1,28.188799
1851,1,30.637140
1370,1,28.955800
1852,1,30.493803
1853,1,30.518287
2664,1,30.495570
940,1,19.839674
941,1,20.575018
963,1,22.123102
173,1,21.336299
1773,1,22.095739
383,1,19.066782
384,1,19.080047
598,1,19.048060
820,1,19.061358
90,1,16.759572
91,1,16.811374
1293,1,18.289485
837,1,19.048264
2189,1,18.321319
2190,1,18.297692
839,1,19.046504
92,1,16.808064
87,1,15.997627
86,1,16.172040
2445,1,18.318047
93,1,16.017605
2446,1,18.320553
2448,1,18.297500
923,1,19.053768
2701,1,19.416555
2583,1,18.279289
94,1,16.036936
229,1,16.003923
1153,1,15.999536
83,1,15.280961
84,1,15.245875
1168,1,12.949602
85,1,15.248125
1167,1,14.500000
99,1,9.150528
1256,1,14.478488
89,1,15.241423
88,1,15.275179
682,1,3.049272
899,1,1.525752
687,1,3.057444
929,1,1.547410
897,1,3.057850
898,1,3.050637
1776,1,3.047633
2675,1,3.808300
2380,1,3.051092
2107,1,0.761794
205,1,4.585400
206,1,4.572616
211,1,4.573054
3017,1,4.541801
212,1,4.577115
2381,1,2.984835
174,1,12.216250
3018,1,2.953607
3019,1,3.017901
942,1,8.878153
965,1,8.896054
103,1,7.391831
148,1,7.384941
97,1,8.081610
98,1,8.084138
100,1,7.869330
102,1,7.852529
1023,1,8.605851
101,1,8.018046
1779,1,7.975346
1950,1,8.534505
1169,1,8.699672
1951,1,8.550062
