job_number,run_time,n_procs
637,12,16.833893
2185,8,27.543383
317,6,29.563496
1970,4,56.250748
1965,4,56.948868
1162,12,14.522658
1163,11,28.937600
1161,2,95.878051
1594,12,13.749972
1339,4,41.166624
1165,6,15.193064
1156,16,8.633635
682,4,0.760084
1819,4,38.613562
2796,12,10.692295
640,15,9.801388
639,2,78.271180
651,2,58.760199
1177,1,168.828031
1403,1,172.449766
974,1,192.972801
1342,1,182.254943
1085,1,201.319258
1338,1,127.008270
658,25,4.666205
2107,1,0.751280
180,1,125.443042
2079,1,138.355678
1369,1,140.799575
1164,12,9.152479
2795,12,6.146406
2144,1,117.434549
115,1,109.154673
569,1,110.928261
2173,1,115.838454
1144,1,26.329807
189,1,73.615869
1356,1,74.964549
1777,1,84.379617
896,1,78.455006
515,1,76.914185
2376,28,6.271704
735,25,3.865878
899,2,0.761504
768,25,4.031983
929,2,0.778306
797,25,3.880728
2600,16,5.385417
2187,8,10.540044
1259,1,25.124900
1333,1,22.931289
1352,1,22.476081
648,2,37.374969
643,2,39.659818
699,25,3.063828
173,4,4.167390
700,25,3.063575
736,25,3.073292
737,25,3.667946
383,7,2.620309
769,25,3.085374
384,7,2.622705
941,1,19.526002
770,25,3.234698
940,1,18.812528
2979,12,6.095580
698,1,66.817388
157,1,74.427309
1291,1,69.038114
1388,1,70.397116
646,8,9.154324
598,1,18.938504
1968,2,29.836510
1269,1,50.468112
1014,1,51.642112
1271,1,51.888601
1273,1,52.428752
1274,1,53.445643
647,25,2.349101
1268,1,54.992221
804,25,2.294834
805,25,2.311647
1017,1,60.737673
2474,25,2.619381
1372,1,62.573679
1736,1,63.732089
2677,25,2.433749
1311,1,67.129667
86,1,15.923058
988,12,4.558973
87,1,16.014859
230,16,3.167022
93,1,15.878447
883,12,3.812175
1595,12,3.861988
94,1,15.720800
229,1,15.506384
595,2,23.108733
1969,2,18.386357
659,1,32.428022
1319,1,32.424101
649,1,33.052005
1506,1,33.760863
2105,1,41.062380
1310,1,37.277531
381,25,1.564438
156,1,35.715239
1317,1,36.732961
1334,1,49.248802
1386,1,49.087024
385,25,1.855646
673,25,1.577885
942,7,1.313122
382,5,6.857662
674,25,1.535871
965,7,1.239829
675,25,1.640325
99,1,8.530974
676,25,1.673994
677,25,1.616229
1950,4,2.282625
679,25,1.585475
1951,4,2.680654
680,25,2.031421
1023,1,9.582853
831,25,1.636387
1169,1,9.528032
832,25,1.527785
833,25,1.527880
834,25,1.527626
97,1,8.431714
835,25,1.544645
98,1,8.358200
836,25,1.529516
100,1,8.252292
687,4,0.605034
101,1,8.244761
838,25,1.551705
897,2,1.547056
102,1,8.239373
840,25,1.537434
1779,1,8.242985
841,25,1.538788
103,1,7.481549
205,1,4.569342
206,1,4.571885
1964,25,2.045766
148,1,7.498816
212,1,4.471532
211,1,4.492761
1978,25,1.552335
898,2,1.564912
2380,4,0.761531
3017,1,4.479228
2675,1,3.786679
2381,4,0.764243
1981,25,1.781704
1776,1,2.934446
3018,1,2.891665
3019,1,2.885238
1984,25,2.498457
2004,25,1.583279
2005,25,1.586091
2475,25,1.566473
2699,25,1.584059
2700,25,1.850194
2702,25,1.624264
2703,25,1.524769
2704,25,1.636574
2705,25,1.585469
2706,25,1.554543
2710,25,1.593745
2714,25,1.623560
2715,25,1.844369
2716,25,1.624178
2717,25,1.537983
2718,25,1.579289
2719,25,1.584405
2720,25,1.620532
2721,25,1.595911
2722,25,1.533867
2723,25,1.721625
2724,25,1.627256
2725,25,1.536183
2726,25,1.545900
2442,8,4.573124
2443,8,4.575558
1835,8,4.609220
2981,12,3.050746
2444,8,3.094756
1846,8,3.832649
1847,8,3.828782
1848,8,3.824916
1327,2,18.301109
650,2,18.334228
2980,2,18.311759
1850,8,3.812904
1851,8,3.838902
1852,8,3.814884
1853,8,3.820473
1596,12,2.297849
1849,2,15.240337
2664,4,7.625112
1597,12,2.349411
1316,1,37.320620
172,1,37.370573
2447,2,12.172853
159,1,34.933248
683,2,11.315031
1235,1,34.957517
1834,1,32.672218
1198,1,35.728319
82,1,32.720019
888,1,35.786358
1270,1,33.969662
820,22,1.949589
1370,1,27.651006
1290,1,21.606637
890,1,20.690153
1734,1,22.150645
605,1,26.056806
938,1,19.954121
992,1,22.327258
963,1,20.576764
1773,1,20.598221
837,25,0.770992
1816,1,21.592794
839,25,0.768722
2701,25,0.777353
2190,12,1.527617
2445,8,2.288222
174,4,3.052981
2189,5,4.577924
2446,8,2.284917
2448,8,2.285875
2583,12,1.546076
1293,1,16.587129
923,1,17.369315
1168,1,11.271830
1167,1,12.684056
83,1,13.261625
85,1,13.258279
88,1,13.256772
84,1,13.264708
1256,1,12.520753
89,1,13.283145
1153,1,13.882377
90,1,14.465973
91,1,14.475899
92,1,14.472028
