job_number,run_time,n_procs
637,12,16.909635
2185,8,27.504057
317,6,29.390577
1970,4,56.155784
1965,4,56.926421
1162,12,14.513803
1163,11,28.959705
1161,2,95.778243
1594,12,13.770317
1339,4,41.136537
1165,6,15.153224
1156,16,8.437503
682,4,0.749778
1819,4,38.706657
2796,12,10.705673
640,15,10.019511
639,2,78.287633
651,2,58.226171
1177,1,168.327830
1403,1,171.986559
974,1,193.299841
1342,1,182.553376
1085,1,201.153183
1338,1,127.221919
658,25,4.833224
2107,1,0.733153
180,1,125.737826
2079,1,138.133984
1369,1,140.944515
1164,12,9.123405
2795,12,6.144399
2144,1,118.439655
115,1,109.505627
569,1,110.800257
2173,1,115.395346
1144,1,26.394229
1777,1,82.853683
1356,1,74.005177
515,1,75.214777
189,1,75.022842
896,1,80.394612
2376,28,6.125504
735,25,3.811439
899,2,0.761643
768,25,3.826965
929,2,0.901013
797,25,3.828076
2600,16,5.364575
2187,8,10.516673
1259,1,24.846763
1333,1,23.273466
1352,1,22.423860
648,2,38.217501
643,2,40.064271
699,25,3.053265
173,4,4.158140
700,25,3.055053
736,25,3.073841
737,25,3.082875
383,7,2.628234
769,25,3.294439
384,7,2.616730
941,1,19.577635
770,25,3.225130
940,1,18.810583
2979,12,6.102506
157,1,72.815518
698,1,67.875053
1291,1,69.414551
1388,1,70.884897
646,8,9.135636
598,1,18.894135
1968,2,30.142254
1273,1,51.391173
1269,1,51.652993
1274,1,51.989969
1014,1,53.045525
1271,1,53.105849
647,25,2.451190
1268,1,55.745674
804,25,2.307580
805,25,2.487205
1017,1,59.531338
2474,25,2.519948
1372,1,63.680610
1311,1,65.689493
2677,25,2.589684
1736,1,65.199258
86,1,15.857931
988,12,4.531143
87,1,15.893614
230,16,3.101638
93,1,15.879853
94,1,15.909590
883,12,3.837665
1595,12,3.872529
229,1,15.623331
595,2,23.404015
1969,2,18.139133
659,1,31.767408
1319,1,31.765301
1506,1,32.858091
649,1,33.580797
381,25,1.900661
1310,1,38.189158
2105,1,41.928236
156,1,35.089163
1317,1,37.557388
1334,1,49.721533
1386,1,49.926203
385,25,1.555069
673,25,1.545780
942,7,1.326921
382,5,6.941707
674,25,1.609474
965,7,1.199806
675,25,1.528830
99,1,8.562814
676,25,1.532193
677,25,1.556294
1950,4,2.559258
679,25,1.993022
1951,4,2.264861
680,25,1.653435
1023,1,9.010427
831,25,1.526719
1169,1,9.070612
832,25,1.533969
833,25,1.528977
834,25,1.551321
97,1,8.354933
835,25,1.726903
98,1,8.355878
836,25,1.530296
100,1,8.266374
687,4,0.620649
101,1,8.201469
897,2,1.523597
838,25,2.274451
102,1,8.122649
840,25,1.562056
1779,1,8.143802
103,1,7.393120
841,25,1.576866
205,1,4.573994
206,1,4.587638
1964,25,1.538082
148,1,7.536940
211,1,4.569393
212,1,4.574195
898,2,1.526365
1978,25,1.538163
2675,1,3.814242
2380,4,0.762831
3017,1,4.572481
2381,4,0.762650
1981,25,1.573446
1776,1,3.047624
1984,25,1.567416
3018,1,3.053897
3019,1,3.043891
2004,25,1.526774
2005,25,1.525334
2475,25,1.526455
2699,25,1.527157
2700,25,1.527320
2702,25,1.527569
2703,25,1.536334
2704,25,1.615298
2705,25,1.618570
2706,25,1.595544
2710,25,1.566763
2714,25,1.881095
2715,25,1.607591
2716,25,1.539608
2717,25,1.526556
2718,25,1.535454
2719,25,1.536919
2720,25,1.548324
2721,25,1.586847
2722,25,1.601993
2723,25,1.619826
2724,25,1.645736
2725,25,1.596653
2726,25,1.566685
1835,8,4.574752
2443,8,4.581524
2442,8,4.607829
2981,12,3.076365
2444,8,3.072553
1846,8,3.817745
1847,8,3.811055
1848,8,3.811008
1327,2,18.297587
650,2,18.331939
2980,2,18.446218
1850,8,3.810628
1851,8,3.811943
1852,8,3.848387
1853,8,3.847736
1596,12,2.299586
1849,2,15.240501
2664,4,7.618815
1597,12,2.301360
1316,1,37.222935
172,1,37.320517
2447,2,12.172819
1235,1,34.820257
159,1,34.869555
683,2,11.354383
1834,1,32.437199
888,1,35.525196
82,1,32.451820
1198,1,35.593715
1270,1,33.664712
820,22,1.839406
1370,1,27.570198
890,1,20.337272
1290,1,22.055775
1734,1,22.077784
605,1,25.850195
1773,1,19.864300
992,1,22.191417
963,1,20.538552
837,25,0.777336
938,1,20.604973
839,25,0.762889
1816,1,22.378358
2701,25,0.841101
2190,12,1.535225
2445,8,2.285504
174,4,3.075468
2446,8,2.283581
2189,5,4.636311
2448,8,2.284696
2583,12,1.539117
923,1,16.970903
1293,1,16.206161
1168,1,11.524774
1256,1,12.033049
83,1,12.795509
85,1,13.072056
1167,1,13.085883
84,1,13.702957
89,1,13.691153
88,1,13.714269
91,1,13.879007
1153,1,14.329515
90,1,14.863678
92,1,14.880464
